code,locale,name,descr
238,ar,name-30025532,descr-30025532
238,pl,name-30025533,descr-30025533
239,ro,name-18597173,descr-18597173
240,nl,name-22747664,descr-22747664
240,en,name-22747665,descr-22747665
241,it,name-2960816,descr-2960816
241,pl,name-2960817,descr-2960817
242,en,name-30804256,descr-30804256
242,es,name-30804257,descr-30804257
243,fi,name-2651544,descr-2651544
243,es,name-2651545,descr-2651545
244,cs,name-24539507,descr-24539507
244,ro,name-24539508,descr-24539508
245,ja,name-20973630,descr-20973630
245,th,name-20973631,descr-20973631
246,ko,name-22352200,descr-22352200
246,pl,name-22352201,descr-22352201
247,th,name-9246443,descr-9246443
247,zh,name-9246444,descr-9246444
